
ID,name,base_ID,country_ID,category,length,longestStraight,elevationDiff,altitude,minTimeH,minTimeM,minTimeS,maxTimeH,maxTimeM,maxTimeS,layoutNumber,isReverse,pitLaneDelta,isOval,numCorners,noRain
838,Sardegna - Road Track - C Reverse,26,7,original,2661,915,54.0,145.0,8,0,0,21,0,0,6,true,17.0,false,10,true
839,Sardegna - Road Track - B Reverse,26,7,original,3893,915,56.0,145.0,8,0,0,21,0,0,4,true,17.0,false,13,true
841,Sardegna - Road Track - B,26,7,original,3893,915,56.0,145.0,8,0,0,21,0,0,3,false,17.0,false,13,true
843,Sardegna - Road Track - C,26,7,original,2661,915,54.0,145.0,8,0,0,21,0,0,5,false,17.0,false,10,true
846,Red Bull Ring Short Track,25,15,circuit,2336,939,32.4,700.0,6,0,0,20,5,0,2,false,25.0,false,6,false
847,Dragon Trail - Gardens,16,18,original,4352,781,27.0,20.0,6,15,0,19,29,0,1,false,14.0,false,17,false
853,Dragon Trail - Gardens Reverse,16,18,original,4352,781,27.0,20.0,6,15,0,19,29,0,2,true,14.0,false,17,false
854,24 Heures du Mans Racing Circuit No Chicane,1,6,circuit,13567,5700,37.3,811.0,0,0,0,0,0,0,2,false,30.0,false,32,false
874,Circuit de Barcelona-Catalunya Grand Prix Layout,10,13,circuit,4655,1047,30.0,140.0,6,0,0,22,0,0,1,false,28.0,false,16,true
896,Autopolis International Racing Course,6,2,circuit,4674,902,52.0,900.0,5,0,0,19,50,0,1,false,13.0,false,18,false
898,Autopolis International Racing Course - Short Course,6,2,circuit,3022,902,30.0,900.0,5,0,0,19,50,0,2,false,13.0,false,11,false
915,Tokyo Expressway - South Counterclockwise,30,2,city,6560,900,24.0,20.0,0,0,0,0,0,0,2,false,9.5,false,16,true
921,Sardegna - Road Track - A,26,7,original,5113,915,38.0,145.0,8,0,0,21,0,0,1,false,17.0,false,15,true
922,Sardegna - Road Track - A Reverse,26,7,original,5113,915,38.0,145.0,8,0,0,21,0,0,2,true,17.0,false,15,true
1024,Trial Mountain Circuit,31,3,original,5434,1340,58.0,1255.0,6,45,0,21,15,0,1,false,25.0,false,15,true
1034,Trial Mountain Circuit - Reverse,31,3,original,5434,1340,58.0,1255.0,6,45,0,21,15,0,2,true,27.0,false,15,true
1069,High Speed Ring Reverse,20,2,original,4345,1060,8.5,300.0,3,28,0,19,30,0,2,true,10.0,false,6,false
1163,Daytona Road Course,14,3,circuit,5729,575,8.4,8.4,0,0,0,0,0,0,2,false,25.0,false,12,true
1224,Alsace - Test Course,2,6,original,2118,432,35.3,133.0,4,45,0,22,29,0,3,false,10.0,false,7,true
1225,Alsace - Test Course Reverse,2,6,original,2118,432,35.3,133.0,4,45,0,22,29,0,4,true,10.0,false,7,true
1226,Autodrome Lago Maggiore - East,3,7,original,3643,550,43.0,700.0,5,30,0,21,30,0,9,false,17.0,false,11,true
1231,Autodrome Lago Maggiore - East Reverse,3,7,original,3643,550,43.0,700.0,5,30,0,21,30,0,10,true,17.0,false,11,true
1232,Autodrome Lago Maggiore - West,3,7,original,4168,800,49.0,700.0,5,30,0,21,30,0,11,false,17.0,false,13,true
1233,Autodrome Lago Maggiore - West Reverse,3,7,original,4168,800,49.0,700.0,5,30,0,21,30,0,12,true,17.0,false,13,true
1260,Special Stage Route X,28,3,original,30283,12000,65.0,-10.0,0,0,0,0,0,0,1,false,24.0,true,2,true
1261,Special Stage Route X 400,28,3,original,30283,12000,65.0,-10.0,0,0,0,0,0,0,2,false,24.0,true,0,true
1269,Spa 24h Layout,12,10,circuit,7004,751,104.0,420.9,0,0,0,0,0,0,2,false,35.0,false,21,false
1249,Circuit de Barcelona-Catalunya GP Layout No Chicane,10,13,circuit,4730,1047,30,140,6,0,0,22,0,0,2,false,28,false,14,true
1250,Circuit de Barcelona-Catalunya National,10,13,circuit,2977,862,28,140,6,0,0,22,0,0,3,false,28,false,11,true
1265,Circuit de Barcelona-Catalunya Rallycross,10,13,snow_dirt,1133,148,11,140,6,0,0,22,0,0,4,false,28,false,11,true
1247,Nurburgring Endurance,24,5,circuit,23864,2135,300,480,5,0,0,22,0,0,5,false,22.0,false,85,false
1248,Nurburgring Sprint,24,5,circuit,3629,620,33,480,6,0,0,21,0,0,6,false,23.0,false,12,false
1292,Grand Valley - Highway 1,36,3,circuit,5099,995,97,0,5,45,0,20,30,0,1,false,10.0,false,18,true
1293,Grand Valley - Highway 1 Reverse,36,3,circuit,5099,995,97,0,5,45,0,20,30,0,2,true,10.0,false,18,true
1299,Grand Valley - South,36,3,circuit,3076,995,85,0,5,45,0,20,30,0,3,false,10.0,false,10,true
1300,Grand Valley - South Reverse,36,3,circuit,3076,995,85,0,5,45,0,20,30,0,4,true,10.0,false,10,true
1007,Michelin Raceway Road Atlanta,37,3,circuit,4088,1275,38.0,281.0,0,0,0,0,0,0,1,false,10.0,false,12,true
1273,Lake Louise Tri-Oval,38,14,snow_dirt,3068,1184,78,2190,6,0,0,22,0,0,1,false,9,false,3,true
1308,Lake Louise Short Track,38,14,snow_dirt,2577,1024,63,2190,6,0,0,22,0,0,2,false,9,false,7,true
1309,Lake Louise Long Track,38,14,snow_dirt,3694,765,78,2190,6,0,0,22,0,0,3,false,12,false,11,true
1316,Lake Louise Tri-Oval Reverse,38,14,snow_dirt,3068,1184,78.0,2190,6,0,0,22,0,0,4,true,9,false,3,true
1317,Lake Louise Short Track Reverse,38,14,snow_dirt,2577,1024,63,2190,6,0,0,22,0,0,5,true,9,false,7,true
1318,Lake Louise Long Track Reverse,38,14,snow_dirt,3694,765,78,2190,6,0,0,22,0,0,6,true,12,false,11,true
